,g_delta,g_gamma,g_vega,g_theta,g_rho,g_vanna,g_vomma,g_charm,g_veta,g_speed,g_zomma,g_color,g_ultima
g_delta,1.0,-0.026499056060207596,-0.4966779345033941,0.6980149014797509,0.100590052588676,-0.8913464168668312,0.7234910590863665,0.35332728966773125,0.04494741723106911,-0.45604928540502543,0.8005892515680858,-0.8678153451736654,-0.3008080762835694
g_gamma,-0.026499056060207596,1.0,-0.7183335643321829,0.5705488963810301,-0.8589719248404462,-0.05388892723440154,-0.5475418714062279,0.25407124064345615,0.8126147582265092,-0.7757440946939648,-0.23183717336147316,0.2077774910698373,0.27871317920662736
g_vega,-0.4966779345033941,-0.7183335643321829,1.0,-0.8495140178778581,0.7794893501678326,0.39756956812036887,0.1092673799260709,-0.1944988781690621,-0.8612088563326598,0.7986107679162876,-0.37779900924260656,0.3312754995397246,-0.2849807020510502
g_theta,0.6980149014797509,0.5705488963810301,-0.8495140178778581,1.0,-0.4423799646394547,-0.6923248107771163,0.22807495212651588,0.25755148757747204,0.5970803897031167,-0.6725032260389321,0.3857019721972282,-0.42646015492105205,-0.050777369663223895
g_rho,0.100590052588676,-0.8589719248404462,0.7794893501678326,-0.4423799646394547,1.0,-0.146845308843162,0.692484611738614,-0.13526615162246933,-0.924688526492475,0.6831335250241997,0.0958215482836228,-0.15198694854206254,-0.5384515379851595
g_vanna,-0.8913464168668312,-0.05388892723440154,0.39756956812036887,-0.6923248107771163,-0.146845308843162,1.0,-0.7245831419344627,-0.3622052328739785,0.012726919889487983,0.39568592036066436,-0.5541615455502492,0.7113839259221225,0.6000760887744033
g_vomma,0.7234910590863665,-0.5475418714062279,0.1092673799260709,0.22807495212651588,0.692484611738614,-0.7245831419344627,1.0,0.09710743589645363,-0.5286785027374625,0.16536189573554425,0.5819648311135556,-0.6368575552264464,-0.646118348929241
g_charm,0.35332728966773125,0.25407124064345615,-0.1944988781690621,0.25755148757747204,-0.13526615162246933,-0.3622052328739785,0.09710743589645363,1.0,-0.11440777470250646,-0.35455760016896937,0.011299853543062531,-0.18767493062144203,-0.3288784185029412
g_veta,0.04494741723106911,0.8126147582265092,-0.8612088563326598,0.5970803897031167,-0.924688526492475,0.012726919889487983,-0.5286785027374625,-0.11440777470250646,1.0,-0.6878571083444023,0.06037406296814074,0.030930612475965125,0.5599188510902819
g_speed,-0.45604928540502543,-0.7757440946939648,0.7986107679162876,-0.6725032260389321,0.6831335250241997,0.39568592036066436,0.16536189573554425,-0.35455760016896937,-0.6878571083444023,1.0,-0.37364386285811424,0.407852648415248,-0.20961801836124724
g_zomma,0.8005892515680858,-0.23183717336147316,-0.37779900924260656,0.3857019721972282,0.0958215482836228,-0.5541615455502492,0.5819648311135556,0.011299853543062531,0.06037406296814074,-0.37364386285811424,1.0,-0.9141894184180799,0.015421546674999155
g_color,-0.8678153451736654,0.2077774910698373,0.3312754995397246,-0.42646015492105205,-0.15198694854206254,0.7113839259221225,-0.6368575552264464,-0.18767493062144203,0.030930612475965125,0.407852648415248,-0.9141894184180799,1.0,0.20420444252973186
g_ultima,-0.3008080762835694,0.27871317920662736,-0.2849807020510502,-0.050777369663223895,-0.5384515379851595,0.6000760887744033,-0.646118348929241,-0.3288784185029412,0.5599188510902819,-0.20961801836124724,0.015421546674999155,0.20420444252973186,1.0
